id;humidity;temperature1;temperature2;pressure;dust;timestamp
56L; 40.3; 21.4; 21.8; 99160L; 0.081; '2017-04-18 11:50:32'
55L; 40.34; 21.36; 21.73; 99163L; 0.085; '2017-04-18 11:50:16'
54L; 41.48; 21.3; 21.7; 99162L; 0.082; '2017-04-18 11:50:00'
53L; 40.64; 21.3; 21.7; 99162L; 0.084; '2017-04-18 11:47:29'
52L; 40.62; 21.3; 21.7; 99166L; 0.078; '2017-04-18 11:47:13'
51L; 40.46; 21.3; 21.7; 99167L; 0.087; '2017-04-18 11:45:11'
50L; 40.0; 21.3; 21.7; 99169L; 0.081; '2017-04-18 11:43:54'
49L; 40.44; 21.4; 21.66; 99172L; 0.078; '2017-04-18 11:31:52'
48L; 40.2; 21.5; 21.7; 99168L; 0.084; '2017-04-18 11:29:56'
47L; 40.94; 21.5; 21.7; 99168L; 0.078; '2017-04-18 11:29:40'
46L; 41.38; 21.5; 21.72; 99167L; 0.092; '2017-04-18 11:27:20'
45L; 41.96; 21.5; 21.8; 99166L; 0.083; '2017-04-18 11:27:05'
44L; 42.38; 21.4; 21.77; 99172L; 0.082; '2017-04-18 11:25:35'
43L; 42.48; 21.26; 21.6; 99172L; 0.077; '2017-04-18 11:23:28'
42L; 43.74; 20.9; 21.3; 99180L; 0.073; '2017-04-18 11:16:01'
41L; 43.72; 20.8; 21.2; 99173L; 0.08; '2017-04-18 11:14:18'
40L; 42.62; 20.66; 21.1; 99175L; 0.089; '2017-04-18 11:12:45'
39L; 42.34; 20.62; 21.01; 99179L; 0.084; '2017-04-18 11:12:29'
38L; 42.56; 20.6; 21.0; 99178L; 0.077; '2017-04-18 11:12:13'
37L; 42.56; 20.6; 20.96; 99177L; 0.072; '2017-04-18 11:11:58'
36L; 41.92; 22.2; 22.63; 98928L; 0.094; '2017-04-17 13:07:40'
35L; 42.22; 22.2; 22.6; 98929L; 0.088; '2017-04-17 13:07:25'
34L; 41.94; 22.3; 22.7; 98925L; 0.113; '2017-04-17 13:00:50'
33L; 42.04; 22.3; 22.7; 98923L; 0.1; '2017-04-17 13:00:34'
32L; 42.26; 22.3; 22.7; 98927L; 0.103; '2017-04-17 13:00:19'
31L; 42.12; 22.26; 22.7; 98924L; 0.097; '2017-04-17 13:00:03'
30L; 42.38; 22.2; 22.7; 98923L; 0.098; '2017-04-17 12:59:47'
29L; 42.18; 22.2; 22.7; 98924L; 0.099; '2017-04-17 12:59:32'
28L; 42.44; 22.2; 22.7; 98927L; 0.097; '2017-04-17 12:59:16'
27L; 42.72; 22.16; 22.7; 98925L; 0.089; '2017-04-17 12:59:00'
26L; 42.44; 22.1; 22.69; 98923L; 0.099; '2017-04-17 12:58:45'
25L; 42.84; 22.1; 22.62; 98919L; 0.11; '2017-04-17 12:58:29'
24L; 43.52; 22.02; 22.59; 98919L; 0.097; '2017-04-17 12:58:13'
23L; 42.72; 22.0; 22.5; 98926L; 0.093; '2017-04-17 12:57:58'
22L; 42.78; 21.92; 22.48; 98928L; 0.091; '2017-04-17 12:57:42'
21L; 43.6; 21.4; 21.8; 99726L; 0.082; '2017-04-09 19:49:15'
20L; 43.8; 21.4; 21.8; 99723L; 0.082; '2017-04-09 19:49:00'
19L; 43.16; 21.4; 21.8; 99723L; 0.087; '2017-04-09 19:48:44'
18L; 43.46; 21.4; 21.79; 99725L; 0.087; '2017-04-09 19:48:28'
17L; 44.02; 21.4; 21.73; 99724L; 0.081; '2017-04-09 19:48:13'
16L; 41.9; 21.4; 21.7; 99726L; 0.094; '2017-04-09 19:47:57'
15L; 41.96; 21.4; 21.7; 99725L; 0.083; '2017-04-09 19:47:41'
14L; 42.26; 21.4; 21.78; 99723L; 0.079; '2017-04-09 19:47:26'
13L; 42.24; 21.4; 21.8; 99723L; 0.079; '2017-04-09 19:47:10'
12L; 43.04; 21.4; 21.8; 99722L; 0.07; '2017-04-09 19:46:54'
